Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Minimum Salary,Maximum Salary,Avg Salary,company_txt,job_city,age,python_yn,R_yn,spark_yn,aws_yn,excel_yn,tableau_yn
Quant Researcher/Data Scientist,$55K-$92K (Glassdoor Est.),"Your Team responsibilities The successful candidate will be an integral member of the Equity Factor Risk Model team based in Berkeley and will lead and be involved in new factor risk model research and contribute to their success from initial concept through research, development, consultation and production implementation. The candidate will become an expert in MSCI equity factor risk models and carry out back testing, research and analysis of factors and factor risk models using historical market data and Barra factor models and portfolio construction tools. The candidate will heavily utilize Python and Matlab in conducting research and will conduct, lead and drive research in equity factor risk models. The candidate will regularly present and communicate research and research strategy to other members of the equity factor research team, key executives, to the broader research organization, and across the organization to sales and product teams. What we will offer you: Depending on your location of your role, you can expect… Competitive fixed and variable compensation, holiday/vacation allowance & retirement savings plans/pensions Employee Resource Groups to support you in and out of the office A wide range of benefits including – healthcare, dental plans, risk insurances and (location dependent) - cycletowork schemes, gym benefits, retail discounts, A purposeful approach to Wellbeing including training, support networks, membership to wellness platforms and vendors, and active local office communities A specific and deliberate planning to the physical offices in which we work, and support for everyone spending periods of time working remotely or at home. This approach mirrors our commitment to transparency and sustainability and puts the safety and wellness of our employees at the center of all we do. We aim to provide productive and sustainable work environments and technology that encourages collaboration, creativity and innovation. Your key responsibilities MSCI is looking for an exceptional individual to join the Equity Factor Risk Model Research Team, which is responsible for designing and developing equity portfolio analytics, including MSCI Barra equity factor risk models. We seek a senior quantitative researcher who has an established and proven research track-record to help craft and implement the risk model research agenda. The ideal candidate will also have experience in applying machine learning and other data science techniques such as unstructured and alternative data in financial applications, as we seek to leverage these tools in equity risk models, where appropriate. The successful candidate is a highly motivated individual with strong quantitative and problem solving skills as well as a deep interest in empirical research. Critical thinking, curiosity and excellent communication skills are essential. Scope of Responsibility /Expectation: · Build expertise in Barra fundamental equity factor risk models · Assume responsibility for full model research cycle from envisioning to implementation, evaluation, and support · Study global and regional equity markets and quantitative investment strategies · Identify sources of risk and return in equity markets, including from alternative data sources and machine learning techniques · Lead and drive innovation in risk model methodology research · Perform extensive back-testing of existing and new risk models and investment strategies · Present research results internally and externally · Follow and promote good coding practices Your skills and experience that will help you excel Specific Knowledge & Skills: Strong working knowledge of linear algebra and statistics Excellent computer and statistical programming skills – Python and Matlab preferred, also SQL, R. Self-reliance, ability to work independently with minimal supervision Critical thinking, curiosity and good communication skills Ability to think creatively and critically, set research strategy and drive innovation in research Desired Experience: Experience designing, implementing and testing quantitative models Experience with machine learning algorithms, data science and big data tools, unstructured data Familiarity with financial data, interest in and understanding of equity markets Desired Qualifications: M.S. or Ph.D. in Finance, Operations Research, Engineering, Science, Computer Science or another quantitative discipline 5-10+ years relevant experience in a quantitative role. How we’ll support you Coaching and support from experts in your team A performance and growth-oriented culture and values Opportunities for continuous learning to aid progression Goal based objectives and development plans Transparent performance-based compensation schemes Employee resource groups such as the Women’s Leadership Forum, MSCIPRIDE, and Eco-Groups. About MSCI and our teams: MSCI is a market leader in Global Indexes, Smart Beta, ESG and Risk Management, and is at the forefront of the secular trends dominating the financial services landscape today. We are committed to the future sustainability and transparency of the financial markets. We create innovative products and services that allow our clients to make more informed investment decisions, and we provide investors with critical performance measurement and risk management data and analytics. Click here to see what we do (link to MSCI brochure) Our values define the working environment we strive to create. We are inclusive, we champion bold ideas, we always pursue excellence, and always act with integrity. Personal accountability and responsibility are key to success, and we always work as a team to remain client centric. MSCI is committed to developing a culture and workforce that reflects the clients and communities in which we operate. Increasing our diversity expands our talent pool which helps to accelerate innovation in all we do. We especially encourage members of historically underrepresented groups to apply, including women, ethnic minorities and those in the LGBTQ community. To all recruitment agencies: MSCI does not accept unsolicited CVs/Resumes. Please do not forward CVs/Resumes to any MSCI employee, location or website. MSCI is not responsible for any fees related to unsolicited CVs/Resumes. MSCI Inc. is an equal opportunity employer committed to diversifying its workforce. It is the policy of the Firm to ensure equal employment opportunity without discrimination or harassment on the basis of race, color, religion, creed, age, sex, gender, gender identity, sexual orientation, national origin, citizenship, disability, marital and civil partnership/union status, pregnancy (including unlawful discrimination on the basis of a legally protected pregnancy/maternity leave), veteran status, or any other characteristic protected by law.",3.6,"MSCI Inc.
3.6","Berkeley, CA",-1,1001 to 5000 Employees,1969,Company - Public,Financial Analytics & Research,Finance,$1 to $2 billion (USD),-1,55,92,73.5,MSCI Inc.,Berkeley,51,1,0,0,0,1,0
Lead Data Scientist - Experimentation & Inference,$55K-$92K (Glassdoor Est.),"Faire is an online wholesale marketplace built on the belief that the future is local there are over 1M independent retailers in the U.S. and Canada doing more than twice the revenue of Walmart and Amazon combined. At Faire, we're using the power of tech, data, and machine learning to connect a thriving community of over 100,000 brands and local retailers around the world. Picture your favorite boutique in town we help them discover the best products to sell in their stores. With the right tools and insights, we believe that we can level the playing field so that small businesses can compete with these big box and ecommerce giants. We're looking for smart, resourceful and passionate people to join us as we power the shop local movement.

Job Description

At Faire we build elegant and efficient products to deliver superior customer experiences and enhance marketplace efficiency at the same time. From the mobile checkout process, to personalized search ranking, to the intelligent underwriting engine that determines credit limits for retailers---we are constantly iterating and innovating our product offering to create more value for the ecosystem. Experimentation and inference serves as the foundation for such an innovative process and is absolutely critical to high quality decision-making at Faire.

We're looking for someone who's comfortable working on difficult inference problems using both cutting edge and proven techniques. As a foundational member of a fast-growing company and team, you will be working closely with other data scientists, engineers, and product managers to drive a culture of causal reasoning, to develop methods in experimentation and causal inference for data scientists and engineers, and to implement features that improve the design, analysis, and interpretation of the large volume of experiments we run each week.

What you will be doing:
Work on cutting edge inference problems involving a wide variety of data about our retailers, brands and products to power rigorous decision-making and help our customers succeed.
Develop methods and tools that increase the rigor and efficiency of our experimentation platform and analyses that are constructed using causal inference techniques.
Write and collaborate on production code with engineers to implement new inference methods and improve experimentation related pipelines.
Consult with other team members across Faire on complicated experimental designs and on analyses estimating causal effects.
Stay aware of academic literature and industry best practices around experimentation & causal inference and be a champion of good statistical practices at Faire.
What it takes:
Advanced degree in a relevant discipline such as statistics, economics, econometrics, mathematics, computer science, operations research, etc.
2+ years of industry experience using experimentation and causal inference to solve real world problems with large datasets.
Experience and excitement with one or more of the following: advanced statistical techniques for A/B testing, methods for experimental design, observational causal inference, or quasi-experimental analysis. Examples include: quantile testing, sequential testing, variance reduction techniques, variance estimation for ratio metrics, multi-level / hierarchical modeling, matching methods, regression adjustment, structural equation models, instrumental variables, regression discontinuity design, etc.
Resourcefulness and proactiveness: track record for executing independent projects and leading complex, multi-functional projects with several dependencies.
Strong communication skills: can effectively and patiently work with others in a closely collaborative team environment and evangelize experimentation to the organization.
Proficiency with Python / R and SQL.
Why you'll love working at Faire:
We are entrepreneurs: We believe entrepreneurship is a calling and our mission is to empower entrepreneurs to chase their dreams. Every member of our team is an owner of the business and taking part in the founding process.
We are using tech and machine learning to level the playing field: We are using the power of technology and data to connect brands and boutiques from all over the world, building a thriving community of over 100,000 small business owners.
We build products our customers love: Everything we do is ultimately in the service of helping our customers grow their business because our goal is to grow the pie - not steal a piece from it. Running a small business is hard work, but using Faire makes it easy.
We are curious and resourceful: We always find a way to get the job done and come up with creative solutions to whatever problems are standing in our way. People at Faire are insatiably curious. We lead with curiosity and data in our decision making and reason from a first principles mindset.
Faire was founded in 2017 by a team of early product and engineering leads from Square. We're backed by some of the top investors in retail and tech including: Y Combinator, Lightspeed Venture Partners, Forerunner Ventures, Khosla Ventures, Sequoia Capital, Founders Fund, and DST Global. We have offices in San Francisco, Kitchener-Waterloo, and Salt Lake City. We're looking for smart, resourceful and passionate people to join us as we power the shop local movement. To learn more about Faire and our customers, you can read more on our blog.

Faire is being built for entrepreneurs, by entrepreneurs.

Additional Information

Faire provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability, genetics, sexual orientation, gender identity or gender expression.",4.4,"Faire
4.4","San Francisco, CA",-1,201 to 500 Employees,2016,Company - Private,Wholesale,Business Services,Unknown / Non-Applicable,-1,55,92,73.5,Faire,San Francisco,4,1,0,0,0,0,0
Data Scientist,$55K-$92K (Glassdoor Est.),"Do you want to help bring prenatal and oncology diagnostics into clinical practice and improve lives of millions of patients?

As a Data Scientist at BillionToOne, you'll tell data-driven narratives that empower decisions across core functions of the company. On any given day you might work with Process Engineering to help optimize the clinical laboratory supply chain; determine an optimal strategy for placement of field sales representatives with Commercial Operations; help define data warehousing requirements with Software Engineering; A/B test patient and physician outreach campaigns; or identify and communicate key business metrics through a well-designed dashboard. Your problem solving attitude is both scientific and entrepreneurial. You have an intuitive sense of good business questions to ask, can perform exploratory data analysis to bolster or refute your hypotheses, and share your findings with excellent written and data visualization communication skills.

Requirements

Who You Are:
PhD in economics, social sciences, or other quantitative or empirical fields
Strong knowledge of data frame manipulation in R or Python
Proficiency in SQL
Ability to retrieve and munge data from disparate sources and formats (e.g. SQL, JSON, CSV, XLSX)
Understanding of business fundamentals such as revenue, profit, customer acquisition cost, lifetime value, cohort analysis
Nice-To-Haves:
1-2 years of data analysis experience working with cross-functional teams in a high growth company setting
Strong understanding of finance
More About Us:

BillionToOne has developed noninvasive prenatal tests for the most common genetic disorders in the world. More than 100 million people are carriers for these disorders. The prenatal detection of these disorders currently requires invasive methods with high miscarriage risk, but we have developed tests that solve this important problem.
BillionToOne has raised a large Series A and Series A+ funding (~$35M) from global institutional investors, including from Hummingbird Ventures, Neotribe Ventures and Y Combinator.
Check out a simplified introduction to our technology and its potential to transform molecular diagnostics:
https://vimeo.com/311952506

Benefits

We offer highly competitive salary and benefits combined with a truly generous equity package. You will be working on interesting problems with extremely high-impact.

BillionToOne is an equal opportunity employer. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.",-1,BillionToOne,"West Menlo Park, CA",-1,1 to 50 Employees,2016,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1,55,92,73.5,BillionToOne,West Menlo Park,4,1,0,0,0,1,0
Data Scientist / Machine Learning Engineer,$55K-$92K (Glassdoor Est.),"Infiswift Technologies is looking for strong data scientists / machine learning engineers for teams that are developing exciting IoT+AI applications for several of our multi-billion-dollar customers in the Solar, Manufacturing, Oil and Gas industries. Some of these applications are: Optimization of complex manufacturing assembly lines by doing Big Data processing and applying machine learning algorithms to analyze the performance from hundreds of IoT sensors. The goal is to increase the rate of production by reducing bottlenecks and predicting and preventing downtime that would save hundreds of millions of dollars. AI-based product defect classification using machine learning and image processing. The goal is to reduce time and money by avoiding installation of defective products in oil and gas wells. Conversion of unstructured data to structured data using Machine Learning, Natural Language Processing, OCR and other such techniques. The goal is to digitize decades of historical data and use that vast knowledge to build a AI-based recommendation system that can predict the reliability of future system designs. Predicting power generation from ground-mounted as well as rooftop Photovoltaic (PV) systems, forecasting demand for residential/industrial battery usage based on consumption patterns, remotely controlling the charge/discharge of millions of batteries based on constraint-aware optimization algorithms, etc. The goal is to build applications that help ensure energy security in the wake of natural disasters as well as build virtual power plants that help monetize the investments in energy storage. Job Responsibilities As a data scientist / machine learning engineer, these are the specific job duties the candidate is expected to perform. Perform exploratory data analysis on tons of data generated by IoT sensors ingested into Big Data infrastructure Build machine learning models to predict the desired outcome based on supervised learning and build unsupervised learning algorithms where applicable. Design, code and test various AI algorithms to solve the complex problems mentioned above. Qualifications Please note we are open to candidates who have completed or are completing non-traditional education paths, with a focus on demonstrated knowledge and ability based on the qualifications below. Minimum qualifications: Solid problem solving skills in data science and machine learning. Ability to design and implement machine learning algorithms, heuristics-based AI algorithms Ability to write solid code in Python with minimal supervision to implement, test and verify the algorithms. Bachelor’s Degree or relevant experience in Computer Science or Electrical Engineering, Mathematics, Statistics, Business Analytics. How to Apply This is a full-time role available in both our headquarters at Milpitas, CA as well as at our offshore development center in Pune, India. If you are interested, send your resume to careers@infiswift.tech.",-1,INFISWIFT TECHNOLOGIES,"Milpitas, CA",-1,-1,-1,-1,-1,-1,-1,-1,55,92,73.5,INFISWIFT TECHNOLOGIES,Milpitas,-1,1,0,0,0,0,0
Principal Data Scientist,$55K-$92K (Glassdoor Est.),"Coinbase has built the world's leading compliant cryptocurrency platform serving over 30 million accounts in more than 100 countries. With multiple successful products, and our vocal advocacy for blockchain technology, we have played a major part in mainstream awareness and adoption of cryptocurrency. We are proud to offer an entire suite of products that are helping build the cryptoeconomy, and increase economic freedom around the world. There are a few things we look for across all hires we make at Coinbase, regardless of role or team. First, we assess whether a candidate demonstrates our values: Clear Communication, Positive Energy, Efficient Execution, and Continuous Learning. Second, we look for signals that a candidate will thrive in a culture like ours, where we default to trust, embrace feedback, disrupt ourselves, and expect sustained high performance because we play as a championship team. Finally, we seek people with the desire and capacity to build and share expertise in the frontier technologies of crypto and blockchain, in whatever way is most relevant to their role. Read more about our values and culture here. As a Principal Data Scientist, you’ll spend part of your time collaborating closely with business partners in product, engineering, finance and marketing teams to ensure we're focused on the biggest opportunities and interpreting our data correctly. And you’ll spend the other part of your time with the Data team building analytics models and systems that help scale our insights more broadly, both throughout the company and directly in the product. We expect you to demonstrate clear communication, strong desire to execute, and best-in-class craftsmanship. Read more about our values and culture here. What you’ll be doing: Responsible for the vision and strategy behind Coinbase’s experimentation and metrics platform Work with Engineering, Product and Data teams to serve metric and experimentation needs in online and offline systems Provide thought leadership and guidance in driving a data-driven, measurement-focused culture What we look for in you: Deep domain knowledge in statistics and online experimentation in particular with a passion to efficiently measure the causal impact of our most important product changes Data pipelining experience (e.g. Apache Airflow) to translate measurement and statistical methodologies into scalable solutions Great skills in working with cross-functional teams, driving a data-driven culture company-wide 7+ years of experience providing business insights and driving data science initiatives Nice to haves: Ability to integrate with production systems (e.g. for experiment delivery) Knowledge of entrepreneurship and/or product innovation best practices PhD in Statistics Benefits at Coinbase Health, Dental, and Vision insurance covered at 100% for employees and 80% for dependents HSA plan with company seed Disability and Life Insurance 401(k) plan with company match $260 monthly Commuter Benefit Monthly Gym Benefit Volunteer Time Off Fertility Counseling and Benefits Learning and Development stipend 18 weeks paid Parental Leave Meals and Snacks provided onsite The option of getting paid in digital currency 7 year post termination option exercise window (for employees who stay 2 years or more) vs. the industry standard 90 days",4.0,"Coinbase
4.0","San Francisco, CA",-1,501 to 1000 Employees,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,55,92,73.5,Coinbase,San Francisco,8,0,0,0,0,0,0
Data Scientist,$55K-$92K (Glassdoor Est.),Experiment engineers will be expected to help define and develop our core software for designing and deploying advanced experiments.,-1,Gayathri's Sandbox,"Menlo Park, CA",-1,-1,-1,-1,-1,-1,-1,-1,55,92,73.5,Gayathri's Sandbox,Menlo Park,-1,0,0,0,0,0,0
"Marketing Data Scientist, Professional Services",$55K-$92K (Glassdoor Est.),"Note: By applying to this position your application is automatically submitted to the following locations: Mountain View, CA, USA; Chicago, IL, USA; New York, NY, USA

Minimum qualifications:
Bachelor's degree in Statistics, Computer Science, Engineering, or Mathematics, related quantitative discipline, or equivalent practical experience.
5 years of experience in data science with a focus on marketing analytics, statistical modeling, machine learning, forecasting and optimization.
Experience in Python and/or R.
Experience in data management systems.
Preferred qualifications:
PhD in Statistics, Computer Science, Engineering, or Mathematics.
Experience delivering bespoke analytics to stakeholders (problem scoping/definition, modeling, interpretation, presentation).
Experience with analytic software tools and languages such as SQL, R, TensorFlow, Python, SAS, SPLUS, and Eviews.
Client vertical experience, including retail, financial services/retail banking, insurance, telecommunications, automotive and CPG with experience using or deploying digital analytics and measurement solutions.
Knowledge of the statistical algorithms typically used in Marketing Analytics.
Ability to visualize models and results, and debug and troubleshoot code and models.
About the job


gTech’s Professional Services team takes a creative, collaborative, and customer-centric approach to provide foundational services and forward-looking business solutions to top advertiser and publisher customers. Through technical implementation, optimization, and key solutions, gTech Professional Services helps customers attain their business goals while building long-term capabilities.

The gTech Professional Services (gPS) team is a team of solution-oriented trusted advisors working with advertisers in the Americas region. Our gPS team is looking for a Data Scientist with a deep technical and product expertise, combined with knowledge of customer’s needs and goals to solve their biggest business challenges allowing them to grow. As a Data Scientist, you will produce innovative and actionable quantitative models and analyses to address the challenges of marketing effectiveness and business growth.

Google creates products and services that make the world a better place, and gTech’s role is to help bring them to life. Our teams of trusted advisors support customers globally. Our solutions are rooted in our technical skill, product expertise, and a thorough understanding of our customers’ complex needs. Whether the answer is a bespoke solution to solve a unique problem, or a new tool that can scale across Google, everything we do aims to ensure our customers benefit from the full potential of Google products.

To learn more about gTech, check out our video.
Responsibilities
Lead analytics aspects of client engagements in the area of marketing effectiveness and marketing portfolio management.
Collaborate with clients to build an end to end machine learning framework. Engage various stakeholders, assess data readiness. Be able to scale a proof of concept to a larger solution.
Work with client and internal teams to translate data and model results into tactical and strategic insights that are clear, complete, accurate, relevant, understandable and applicable to decision making and needs for varying client audiences. Co-present to and work with clients to integrate recommendations into business processes.
Collaborate with Product/Engineering teams to increase and optimize capabilities, employing methods which create opportunities for scale, proactively helping to drive innovation.
Develop comprehensive understanding of Google data structures and metrics, advocating for product changes where needed.

Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing this form.",4.5,"Google
4.5","Mountain View, CA",-1,10000+ Employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD),-1,55,92,73.5,Google,Mountain View,22,1,0,0,0,0,0
"Data Scientist Intern, Analytics (PhD)",$55K-$92K (Glassdoor Est.),"Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities - we're just getting started.

Are you passionate about Facebooks product, analytics and technology? The Analytics team is looking for fast-moving analytics candidates and data junkies who want to make an impact. Candidates will help own analytics for a particular product or business at Facebook and work with product managers and engineers to translate the analysis into meaningful impact to the business. Please note that candidates will have a general interview and then we will make a determination of actual team assignments.
Perform large-scale data analysis to extract useful business insights
Identify actionable insights, suggest recommendations and influence the direction of the business by communicating results to cross-functional groups
Work closely with a Product Manager and Engineering team to proactively create rule and manage decisions
Classify leads so that the teams work on the most valuable cases
Suggest improvements in the tools and techniques to help scale the team
Currently has, or is in the process of obtaining, a PhD degree in Computer Science, Applied Mathematics, Statistics, Economics, or related technical field
Experience in solving analytical problems using quantitative approaches (or equivalent)
Experience with SQL or other programming languages (Python, Java, and/or C++)
Development experience in at least one scripting language (PHP, Perl, Python, etc.)
Must obtain work authorization in country of employment at the time of hire, and maintain ongoing work authorization during employment
Intent to return to degree-program after the completion of the internship
Curious, self-driven, analytical and excited to play with data
Ability to thrive in a fast paced work environment
Facebook is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law.Facebook is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at accommodations-ext@fb.com.",4.5,"Facebook
4.5","Menlo Park, CA",-1,10000+ Employees,2004,Company - Public,Internet,Information Technology,$5 to $10 billion (USD),-1,55,92,73.5,Facebook,Menlo Park,16,1,0,0,0,0,0
Statistician - Data Scientist,$55K-$92K (Glassdoor Est.),":

Are you passionate about your work and dream of using state-of-the-art facilities to explore solutions? Do you want to join a dynamic team that solves challenging issues for our nation's security?

We are seeking a Statistician/Data-Scientist to join our interdisciplinary team of researchers responsible for growing a foundational data science research effort with applications to cyber security.

You will be joining a team challenged by data-intensive research problems that lead to fundamental methods advances and peer-reviewed publications in areas such as statistics, applied mathematics, uncertainty quantification, feature identification techniques, machine learning, streaming and sampling, linear/multilinear methods, nonlinear optimization, and Bayesian inference in application to cybersecurity network, file, and alert triage analytics, differential privacy, similarity analysis, label propagation, and software understanding. As a key member of the team, you will be encouraged to demonstrate technical, programmatic and operational leadership for high impact to national security programs.

On any given day, you may be called on to:
Plan, conduct and execute work with a collaborative multi-disciplinary team of researchers within and outside of our department
Work / develop algorithms and software in R, Python, Java, C and C\+\+ or related languages
Collaborate side-by-side with cyber security professionals to perform innovative and relevant research
Work both with theorists and real data
Design, plan, manage, and execute research; design and develop projects.
Publish and present outstanding new developments in peer-reviewed journals and at conferences
Develop open-source software
Required:
Master's Degree in Statistics, Applied Mathematics, Computer Science, Cybersecurity, Data Science or relevant discipline plus 1 or more years of experience; or PhD in any of the above fields or relevant discipline; or equivalent combination of relevant educated and experience
Demonstrated expertise in one or more of the following areas: statistics, applied mathematics, uncertainty quantification, feature identification techniques, machine learning, streaming and sampling, linear/multilinear methods, nonlinear optimization, and Bayesian inference
Publication record indicative of relevant research expertise
Software development experience in Python, Java, C and C\+\+ or related languages
Ability to obtain and maintain a DOE-Q and SCI clearance
Desired:
Ability to work in collaborative, interdisciplinary research environments on problems comprising diverse application domains
Excellent written and oral communication and interpersonal skills
A background in solving practical problems that involve encounters with real-world data
Cybersecurity domain experience
Experience working in software development teams
Proven research community leadership through activities such as participation in student or professional organizations, outreach activities, etc.
Related professional experience such as internships in industry or at other national labs, participation in visiting research programs, etc.
Department Description:

The Data Science & Cyber Analytics Department develops new techniques and tools in machine learning, data analysis, and numerical and discrete algorithms. The department is especially focused on matrix and tensor methods, adversary-aware analytics, at-scale streaming and sampling methods, graph and network analysis, and game theory. The department generates publications in leading technical journals and conferences as well as software that is freely available to the research community. These techniques are largely focused on real-world data with a particular focus on cyber applications. Our efforts impact a wide range of domains ranging from national security applications to basic and applied research.

About Sandia:

Sandia National Laboratories is the nations premier science and engineering lab for national security and technology innovation, with teams of specialists focused on cutting-edge work in a broad array of areas. Some of the main reasons we love our jobs:
Challenging work withamazingimpact that contributes to security, peace, and freedom worldwide
Extraordinary co-workers
Some of the best tools, equipment, and research facilities in the world
Career advancement and enrichment opportunities
Flexible schedules, generous vacations,strongmedical and other benefits, competitive 401k, learning opportunities, relocation assistance and amenities aimed at creating a solid work/life balance\
World-changing technologies. Life-changing careers._ Learn more about Sandia at: http://www.sandia.gov

*These benefits vary by job classification.

Security Clearance:

Sandia is required by DOE to conduct a pre-employment drug test and background review that includes checks of personal references, credit, law enforcement records, and employment/education verifications. Applicants for employment need to be able to obtain and maintain a DOE Q-level security clearance, which requires U.S. citizenship. If you hold more than one citizenship (i.e., of the U.S. and another country), your ability to obtain a security clearance may be impacted.

Applicants offered employment with Sandia are subject to a federal background investigation to meet the requirements for access to classified information or matter if the duties of the position require a DOE security clearance. Substance abuse or illegal drug use, falsification of information, criminal activity, serious misconduct or other indicators of untrustworthiness can cause a clearance to be denied or terminated by DOE, resulting in the inability to perform the duties assigned and subsequent termination of employment.

EEO Statement:

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, or veteran status and any other protected class under state or federal law.

Security Clearance:

Sandia is required by DOE to conduct a pre-employment drug test and background review that includes checks of personal references, credit, law enforcement records, and employment/education verifications. Applicants for employment need to be able to obtain and maintain a DOE Q-level security clearance and SCI access, both of which require US citizenship. SCI access may also require a polygraph examination. If you hold more than one citizenship (i.e., of the U.S. and another country), your ability to obtain these levels of access may be impacted.

Applicants offered employment with Sandia are subject to a federal background investigation to meet the requirements for access to classified information or matter if the duties of the position require a DOE security clearance. Substance abuse or illegal drug use, falsification of information, criminal activity, serious misconduct or other indicators of untrustworthiness can cause a clearance to be denied or terminated by the DOE, resulting in the inability to perform the duties assigned and subsequent termination of employment.",4.0,"Sandia National Laboratories
4.0","Livermore, CA",-1,10000+ Employees,1949,Government,Federal Agencies,Government,$2 to $5 billion (USD),-1,55,92,73.5,Sandia National Laboratories,Livermore,71,1,0,0,0,1,0
Data Scientist,$55K-$92K (Glassdoor Est.),"Responsibilities

• Make recommendations regarding the collection, extraction, and transformation of large data sets
• Interpret data and analyze results
• Translate analytical insights into clear recommendations; identify trends and patterns to inform business decisions and product design
• Leverage Python to analyze complex data
• Design and develop customized interactive reports and dashboards in Tableau; schedule in Tableau Server
• Define and develop a data migration strategy between different products and platforms
• Develop creative ways to identify and use data that significantly impact key business metrics
• Assess the potential usefulness and validity of new data sources
• Utilize statistical approaches to build predictive models
• Mentor other team members/ analysts to grow their skills and careers",4.8,"Colsh Consultants
4.8","Santa Clara, CA",-1,Unknown,2005,Unknown,IT Services,Information Technology,Unknown / Non-Applicable,-1,55,92,73.5,Colsh Consultants,Santa Clara,15,1,0,0,0,0,1
"Senior Data Scientist - Analytics, Frontline Insights & Execution",$55K-$92K (Glassdoor Est.),"Senior Data Scientist - Analytics, Frontline Insights & Execution


San Francisco, United States

Role overview
Application

Airbnb has become a global platform that connects travelers and hosts from over 81,000 cities. Our Data Science team draws insights from our rich two sided marketplace to propel our community and product forward. Together we can create a place where we can belong anywhere.

About the position:

The Frontline Insights & Execution (FIX) Team is focused on creating a flywheel of frontline feedback that helps teams at Airbnb build better products and reduce defects. Up-leveling data and insights is defined as a critical strategy for the team to serve this company-wide key initiative.

As a Data Scientist on FIX and part of the Support Product Data Science team, you will have the unique opportunity for massive impact given that you’ll directly drive projects that can reduce cost, improve user experience and stimulate sustainable growth. You’ll influence key strategic decisions across all Airbnb product teams by bringing data and insights to the table. You'll be in the driver seat to change Airbnb’s DNA around defect reduction using data to drive forward our vision of a world where guests and hosts can use our products seamlessly.

We have a strong team of Data Scientists, our work is highly sought-after, and our impact on the business is tremendous. If you have a proven background in this field and are excited to help build Airbnb’s community, we want to hear from you.

Responsibilities include:
Defining, tracking and explaining key metrics across all surface areas
Creating and empowering a company-wide measurement and attribution framework on Community Support contacts
Quantifying long-term impact of Community Support contacts and trade-off against other goals
Consolidating all feedback channel data and driving insights
Conceptualizing, developing, and maintaining dashboards and visualizations
Improving the quality of global product feedback data; Making unstructured data more accessible
Here are example traits we value:
4+ years professional experience, or PhD in a quantitative field including Applied Math, Statistics, Operations Research, Economics, or Computer Science
Experience with languages used for querying (e.g. Hive/Pig/SQL), preprocessing (e.g. unix/python), and statistical analysis (e.g. R/Python)
Ability to communicate clearly and to effectively influence others
Experience or willingness to learn tools to create data pipelines using Airflow/Minerva
Solid understanding of product analytics & experimentation
Creative
Self-driven
Benefits
Stock
$2,000 yearly employee travel coupon
Competitive salary
Paid time off
Medical, dental, & vision insurance
Life & disability coverage
401K
Flexible Spending Accounts
Apple equipment
Daily breakfast, lunch, and dinner
Candidate Privacy Notice

If you are a California resident, learn about what personal information we collect about you and how we use it here.

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status",4.1,"Airbnb
4.1","San Francisco, CA",-1,5001 to 10000 Employees,2008,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,55,92,73.5,Airbnb,San Francisco,12,1,0,0,1,0,0
